"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income (dollars)","Mean income (dollars)","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"        Estimate","2,005","1.9%","0.9%","3.6%","10.0%","12.5%","15.4%","18.0%","19.0%","13.9%","4.8%","91,390","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,221","11.7%","19.9%","6.9%","8.2%","23.7%","16.3%","6.6%","4.6%","1.5%","0.5%","37,712","41,811","","(X)","(X)","19.8%"
"Briscoe County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","557","12.7%","9.9%","12.6%","11.0%","16.3%","15.4%","5.4%","12.2%","2.9%","1.6%","38,469","52,889","","53.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","316","13.6%","1.9%","3.8%","15.2%","18.4%","14.6%","9.5%","16.8%","3.5%","2.8%","45,625","65,770","","(X)","52.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","247","8.1%","0.0%","4.9%","14.2%","18.6%","14.2%","12.1%","19.8%","4.5%","3.6%","58,125","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","241","11.6%","20.3%","24.1%","5.4%","13.7%","16.6%","0.0%","6.2%","2.1%","0.0%","22,049","35,776","","(X)","(X)","55.2%"
"Brooks County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,425","24.6%","8.8%","13.9%","15.7%","9.3%","12.3%","4.5%","10.4%","0.5%","0.0%","26,827","39,592","","46.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,396","16.6%","6.4%","16.5%","11.7%","10.2%","13.1%","6.5%","18.1%","0.9%","0.0%","33,851","51,096","","(X)","44.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","935","13.3%","4.1%","17.3%","6.7%","12.5%","14.1%","9.7%","21.0%","1.3%","0.0%","44,063","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,029","35.5%","15.0%","11.5%","21.2%","8.6%","8.4%","0.0%","0.0%","0.0%","0.0%","12,427","21,064","","(X)","(X)","50.0%"
"Brown County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","14,651","6.9%","4.0%","12.6%","10.7%","16.5%","16.8%","12.3%","12.8%","4.3%","3.2%","49,232","70,248","","31.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","9,767","3.8%","1.7%","8.9%","8.3%","15.5%","20.5%","15.1%","16.2%","5.6%","4.4%","63,416","83,272","","(X)","30.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,564","1.0%","1.8%","7.3%","5.9%","13.8%","22.7%","15.9%","19.8%","6.6%","5.1%","73,101","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,884","14.0%","8.5%","22.2%","16.2%","16.9%","10.0%","5.4%","4.8%","1.4%","0.6%","28,339","40,790","","(X)","(X)","31.6%"
"Burleson County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,178","5.3%","4.8%","6.2%","9.3%","13.2%","20.8%","15.7%","15.0%","6.3%","3.6%","64,109","79,815","","43.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,762","3.4%","2.0%","4.9%","6.2%","11.8%","19.7%","19.2%","20.4%","7.7%","4.7%","77,978","94,784","","(X)","42.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,910","1.7%","1.2%","4.5%","3.5%","10.7%","20.2%","20.8%","23.3%","8.5%","5.7%","82,007","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,416","8.9%","10.5%","8.8%","15.8%","16.4%","22.4%","8.7%","4.8%","2.9%","0.8%","40,349","48,918","","(X)","(X)","44.0%"
"Burnet County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","17,941","2.6%","3.0%","7.3%","7.8%","15.3%","19.7%","14.9%","15.7%","6.4%","7.3%","65,363","90,634","","37.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","12,756","1.6%","1.4%","4.0%","4.0%","16.0%","21.6%","15.5%","18.8%","8.2%","8.8%","77,676","102,463","","(X)","36.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","10,540","0.5%","0.5%","3.9%","2.9%","15.7%","19.7%","16.8%","20.9%","9.1%","9.9%","85,658","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,185","5.3%","7.0%","15.3%","18.6%","14.5%","15.9%","12.6%","5.3%","2.4%","3.2%","39,362","58,732","","(X)","(X)","37.2%"
"Caldwell County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","14,315","5.4%","2.3%","8.3%","10.8%","12.2%","20.1%","17.2%","13.0%","6.1%","4.6%","63,380","80,237","","36.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","9,986","4.1%","0.8%","5.4%","9.4%","10.7%","22.2%","19.9%","13.4%","8.3%","5.8%","71,279","88,374","","(X)","40.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,280","0.7%","0.7%","4.9%","6.3%","9.9%","21.0%","21.7%","17.2%","10.8%","6.9%","83,272","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,329","9.8%","5.8%","15.0%","14.9%","17.5%","17.7%","10.5%","7.6%","0.6%","0.6%","41,058","49,628","","(X)","(X)","26.1%"
"Calhoun County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,748","3.6%","3.8%","6.4%","12.2%","16.4%","17.3%","14.1%","15.7%","5.7%","4.7%","61,887","77,888","","34.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,562","2.1%","2.1%","4.5%","10.9%","13.7%","16.8%","17.3%","19.2%","7.5%","5.8%","74,930","87,850","","(X)","37.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","4,254","1.4%","1.8%","2.7%","7.1%","9.1%","18.7%","17.9%","24.4%","9.2%","7.6%","89,213","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,186","9.2%","9.6%","11.8%","17.6%","23.4%","14.7%","4.8%","6.0%","1.1%","1.7%","35,880","48,286","","(X)","(X)","25.4%"
"Callahan County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,247","4.2%","2.7%","10.7%","12.8%","12.9%","23.3%","12.1%","14.3%","4.3%","2.8%","55,820","68,791","","33.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,384","2.2%","0.5%","6.0%","10.0%","10.8%","27.8%","13.5%","19.2%","5.8%","4.2%","64,978","82,348","","(X)","34.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,742","0.5%","0.1%","4.0%","7.3%","11.2%","28.5%","14.5%","22.2%","7.1%","4.6%","71,890","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,863","8.5%","6.8%","22.9%","16.9%","13.9%","14.4%","9.9%","5.0%","1.6%","0.2%","31,579","43,133","","(X)","(X)","31.7%"
"Cameron County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","130,030","9.4%","7.4%","13.4%","11.5%","12.9%","17.9%","10.7%","10.6%","3.9%","2.4%","43,057","60,107","","38.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","100,222","7.0%","5.0%","12.2%","11.7%","13.6%","18.9%","12.1%","12.1%","4.5%","2.7%","50,461","65,264","","(X)","40.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","64,637","4.1%","2.9%","9.5%","10.2%","13.7%","20.0%","14.5%","15.1%","6.3%","3.8%","61,191","77,169","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","29,808","19.3%","15.8%","18.3%","11.1%","11.7%","12.7%","5.6%","3.9%","0.5%","1.1%","22,357","37,559","","(X)","(X)","29.3%"
"Camp County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,385","5.5%","9.4%","11.5%","9.8%","12.2%","17.5%","16.5%","9.8%","4.5%","3.4%","50,947","68,062","","50.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,051","3.3%","4.9%","6.4%","11.0%","12.3%","20.2%","17.2%","13.4%","6.5%","4.8%","61,983","81,790","","(X)","46.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,141","2.3%","1.4%","4.3%","5.7%","10.0%","21.2%","21.7%","17.6%","9.2%","6.5%","83,424","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,334","10.3%","19.6%","23.3%","9.8%","12.0%","11.2%","13.4%","0.4%","0.0%","0.0%","22,557","34,480","","(X)","(X)","54.0%"
"Carson County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,282","2.3%","3.0%","7.6%","10.3%","8.6%","14.5%","12.0%","22.0%","13.6%","6.0%","76,786","97,794","","34.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,600","1.9%","0.9%","3.6%","7.8%","5.1%","11.8%","13.4%","28.9%","18.4%","8.1%","107,132","117,677","","(X)","32.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,358","0.0%","0.6%","1.5%","6.1%","3.9%","11.2%","15.3%","32.2%","19.7%","9.5%","116,250","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","682","6.3%","7.8%","16.9%","13.2%","17.0%","21.0%","8.9%","5.9%","1.8%","1.3%","41,029","49,585","","(X)","(X)","34.6%"
"Cass County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","11,371","8.0%","6.0%","11.3%","12.3%","12.6%","18.4%","14.1%","11.3%","3.6%","2.5%","49,626","61,554","","50.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,897","5.5%","2.8%","8.2%","11.0%","13.6%","20.8%","15.4%","14.5%","4.5%","3.6%","58,712","71,268","","(X)","52.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,885","1.6%","1.6%","6.3%","8.9%","12.4%","21.0%","18.7%","18.9%","5.8%","4.8%","72,146","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,474","14.3%","13.2%","19.4%","16.1%","10.9%","11.7%","10.1%","3.2%","1.1%","0.0%","27,190","37,173","","(X)","(X)","43.9%"
"Castro County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,417","7.8%","3.9%","7.4%","11.2%","13.2%","21.0%","17.5%","8.5%","4.3%","5.2%","53,551","68,870","","48.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,799","7.6%","2.6%","4.6%","11.1%","13.0%","20.1%","17.7%","10.6%","5.8%","7.0%","59,228","77,341","","(X)","51.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,334","1.1%","0.4%","2.5%","11.2%","12.3%","22.1%","22.1%","10.9%","7.8%","9.4%","75,476","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","618","10.4%","7.6%","15.7%","13.4%","14.6%","24.9%","12.8%","0.6%","0.0%","0.0%","37,667","40,365","","(X)","(X)","40.8%"
"Chambers County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","14,905","4.4%","6.7%","5.1%","5.8%","8.6%","11.3%","10.7%","19.5%","14.5%","13.5%","93,707","113,619","","37.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","12,006","5.3%","4.8%","3.0%","4.6%","5.7%","10.0%","10.6%","24.6%","17.1%","14.4%","119,689","123,836","","(X)","36.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","9,557","1.3%","4.4%","2.2%","3.9%","4.6%","10.2%","12.6%","25.2%","18.4%","17.2%","125,453","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,899","11.1%","18.0%","8.9%","10.1%","15.6%","17.1%","8.0%","6.3%","3.3%","1.5%","36,002","48,525","","(X)","(X)","36.9%"
"Cherokee County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","18,173","6.4%","4.2%","11.4%","10.7%","14.6%","17.7%","11.7%","15.2%","5.0%","3.0%","54,222","69,290","","46.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","13,605","4.2%","2.6%","9.0%","10.3%","14.5%","19.9%","12.0%","17.4%","6.2%","3.9%","59,657","77,303","","(X)","48.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","9,837","3.2%","1.0%","4.8%","9.9%","13.2%","19.8%","13.6%","21.7%","7.6%","5.2%","70,539","87,849","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,568","14.1%","10.6%","20.8%","11.6%","14.4%","11.7%","8.7%","6.3%","1.4%","0.4%","27,719","41,199","","(X)","(X)","38.7%"
"Childress County, Texas","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,070","4.6%","6.6%","8.5%","13.8%","14.3%","18.4%","13.5%","10.6%","6.7%","3.0%","53,092","70,354","","47.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,507","1.5%","4.4%","7.6%","15.5%","14.0%","20.6%","13.6%","12.7%","6.0%","4.1%","58,162","76,314","","(X)","44.1%","(X)"
