"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income","Mean income","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","9,045","1.9%","2.3%","6.4%","12.4%","16.9%","25.1%","15.0%","13.3%","3.8%","2.9%","58,750","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","8,814","12.7%","17.4%","20.5%","16.1%","14.5%","10.1%","3.8%","4.4%","0.1%","0.4%","24,701","33,417","","(X)","(X)","38.0%"
"Highland County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","987","1.4%","5.1%","11.6%","7.8%","16.8%","25.9%","15.1%","10.3%","2.3%","3.6%","51,831","67,416","","41.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","621","0.0%","3.1%","8.7%","7.1%","18.7%","26.4%","14.7%","15.5%","3.7%","2.3%","58,520","73,376","","(X)","39.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","544","0.0%","3.5%","9.0%","7.0%","19.1%","21.9%","15.8%","16.9%","4.2%","2.6%","61,875","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","366","3.8%","8.5%","17.5%","9.3%","13.4%","34.2%","5.7%","1.6%","0.0%","6.0%","41,765","52,231","","(X)","(X)","45.4%"
"Isle of Wight County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","14,611","3.6%","2.7%","9.1%","7.9%","9.5%","15.2%","13.5%","21.7%","8.5%","8.3%","77,870","97,707","","26.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","10,355","3.4%","0.7%","5.1%","5.2%","8.5%","15.1%","13.2%","26.6%","10.6%","11.6%","97,371","114,506","","(X)","27.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","8,097","0.5%","0.4%","3.8%","3.0%","7.5%","13.9%","12.2%","31.6%","13.0%","14.0%","110,811","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,256","6.1%","7.5%","17.2%","15.6%","13.9%","14.1%","13.5%","9.2%","2.7%","0.3%","37,863","53,608","","(X)","(X)","23.1%"
"James City County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","29,681","3.6%","2.6%","5.7%","5.5%","9.1%","14.1%","14.2%","22.2%","12.0%","11.1%","91,675","112,937","","29.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","21,096","1.4%","0.7%","4.0%","3.5%","6.1%","13.7%","15.1%","26.9%","13.6%","14.8%","107,443","131,123","","(X)","30.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","17,498","1.0%","0.6%","2.4%","2.2%","4.5%","11.3%","15.3%","29.6%","15.8%","17.4%","119,201","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","8,585","9.4%","7.1%","10.9%","11.1%","15.8%","17.1%","11.5%","9.8%","5.4%","1.8%","46,343","63,373","","(X)","(X)","26.5%"
"King and Queen County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,816","4.7%","5.5%","7.4%","6.8%","14.8%","16.1%","16.0%","18.5%","5.8%","4.4%","65,385","81,660","","43.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,789","4.0%","0.6%","2.3%","3.6%","17.3%","16.5%","14.8%","24.9%","9.1%","6.9%","84,036","102,177","","(X)","36.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,563","1.2%","0.0%","2.7%","1.8%","19.1%","14.4%","16.0%","28.5%","10.4%","6.0%","94,119","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,027","7.0%","14.2%","16.3%","11.4%","11.5%","15.1%","17.0%","7.5%","0.0%","0.0%","37,054","45,028","","(X)","(X)","55.2%"
"King George County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","9,387","3.3%","2.3%","3.5%","5.1%","10.3%","14.8%","12.7%","25.1%","12.3%","10.6%","96,711","107,310","","33.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,002","1.7%","0.6%","2.5%","4.2%","8.8%","14.6%","13.2%","26.3%","14.5%","13.6%","103,282","119,543","","(X)","34.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,626","0.6%","0.5%","1.1%","2.7%","6.2%","12.9%","13.7%","28.7%","17.3%","16.2%","119,845","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,385","9.6%","7.0%","6.0%","7.6%","18.2%","13.8%","9.4%","21.4%","5.5%","1.6%","51,913","67,494","","(X)","(X)","28.6%"
"King William County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,393","1.5%","1.3%","6.5%","9.4%","13.3%","19.5%","17.9%","17.5%","7.2%","5.8%","73,284","86,472","","38.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,948","0.2%","1.0%","3.6%","7.9%","11.1%","20.9%","19.1%","19.4%","9.3%","7.4%","83,297","96,435","","(X)","39.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,879","0.0%","0.5%","2.7%","5.7%","8.6%","19.0%","19.4%","24.2%","10.9%","9.0%","92,352","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,445","6.6%","2.4%","15.6%","18.5%","25.1%","12.2%","14.4%","4.6%","0.1%","0.6%","37,875","46,462","","(X)","(X)","31.7%"
"Lancaster County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,287","4.7%","6.9%","10.8%","6.4%","15.1%","17.3%","11.9%","11.5%","7.2%","8.1%","59,736","98,574","","40.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,143","4.5%","1.8%","6.0%","5.0%","14.3%","15.7%","14.8%","15.7%","9.7%","12.4%","78,648","129,732","","(X)","43.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,614","1.0%","1.6%","3.4%","4.4%","13.3%","15.1%","17.0%","18.1%","11.7%","14.6%","97,597","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,144","6.9%","14.3%","16.2%","9.0%","16.3%","19.1%","8.0%","5.2%","3.2%","1.7%","38,407","52,078","","(X)","(X)","34.7%"
"Lee County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","8,843","13.4%","8.5%","16.6%","11.5%","13.1%","16.9%","11.1%","5.8%","1.8%","1.3%","35,006","48,024","","31.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","5,586","10.1%","3.7%","12.3%","10.8%","14.0%","20.3%","15.4%","8.5%","2.8%","2.0%","48,500","59,422","","(X)","38.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,917","4.8%","2.0%","7.8%","10.7%","16.1%","24.1%","17.1%","11.9%","3.1%","2.5%","62,240","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,257","21.9%","16.2%","24.5%","13.1%","9.6%","10.3%","3.9%","0.4%","0.0%","0.1%","20,208","26,305","","(X)","(X)","19.0%"
"Loudoun County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","132,565","1.8%","0.9%","2.0%","2.9%","4.7%","9.4%","9.5%","19.7%","17.3%","31.8%","147,111","174,594","","30.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","103,902","0.9%","0.6%","1.3%","2.3%","3.6%","7.5%","8.7%","19.0%","19.1%","37.1%","164,579","191,672","","(X)","29.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","88,541","0.4%","0.4%","0.7%","1.4%","2.7%","6.0%","7.7%","18.5%","20.4%","41.8%","178,394","206,559","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","28,663","5.4%","2.3%","5.0%","5.7%","9.4%","18.0%","12.6%","21.9%","10.9%","8.7%","83,879","103,506","","(X)","(X)","28.9%"
"Louisa County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","14,383","4.3%","5.0%","6.4%","7.8%","12.8%","19.4%","15.9%","16.2%","6.3%","6.0%","67,027","87,302","","27.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","10,249","1.9%","2.1%","6.2%","7.3%","11.4%","17.7%","18.3%","20.9%","7.5%","6.7%","79,821","98,192","","(X)","28.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","8,451","1.0%","0.7%","3.4%","6.4%","9.8%","18.1%","19.2%","24.6%","8.9%","7.8%","89,330","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,134","11.2%","12.8%","12.5%","8.8%","17.1%","19.0%","9.0%","3.4%","2.6%","3.7%","38,799","53,936","","(X)","(X)","21.9%"
"Lunenburg County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,472","7.1%","7.8%","12.2%","13.0%","13.2%","21.1%","12.1%","8.6%","2.9%","1.9%","45,884","56,349","","44.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,043","3.6%","2.5%","9.7%","12.3%","15.1%","25.2%","14.8%","11.1%","2.8%","2.9%","55,571","65,686","","(X)","44.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,304","0.7%","0.0%","6.1%","11.3%","13.7%","28.8%","17.2%","14.6%","3.7%","3.8%","64,282","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,429","16.2%","19.1%","17.6%","13.6%","9.2%","11.6%","6.4%","4.7%","1.7%","0.0%","23,254","34,791","","(X)","(X)","43.3%"
"Madison County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,098","2.5%","3.4%","12.3%","7.4%","13.0%","22.4%","10.7%","15.8%","6.4%","6.1%","63,482","85,985","","40.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,715","1.8%","2.9%","6.0%","5.3%","14.7%","21.3%","12.7%","18.3%","8.8%","8.1%","72,823","100,112","","(X)","37.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,979","0.4%","1.0%","4.9%","4.9%","11.1%","19.3%","15.9%","21.5%","10.9%","10.1%","86,918","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,383","6.4%","4.6%","27.1%","13.7%","12.8%","23.1%","2.7%","9.1%","0.0%","0.6%","32,731","45,263","","(X)","(X)","45.4%"
"Mathews County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,881","4.1%","3.8%","5.8%","9.4%","9.9%","17.1%","19.5%","13.4%","4.5%","12.6%","74,489","96,088","","47.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,231","0.0%","3.4%","6.2%","7.8%","3.8%","23.7%","23.2%","10.5%","6.3%","15.1%","85,450","107,050","","(X)","36.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,946","0.0%","1.7%","3.4%","7.8%","3.3%","23.1%","24.1%","12.0%","7.2%","17.3%","87,904","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,650","9.7%","4.2%","9.0%","11.6%","17.2%","5.3%","16.3%","15.5%","2.0%","9.2%","46,157","79,354","","(X)","(X)","62.3%"
"Mecklenburg County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","12,371","7.3%","6.9%","12.1%","10.4%","13.0%","18.8%","12.9%","10.9%","4.7%","3.1%","50,224","65,995","","36.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,745","6.1%","3.5%","6.9%","8.9%","12.8%","20.1%","17.2%","15.4%","5.6%","3.4%","62,979","78,005","","(X)","37.0%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,585","1.4%","2.3%","5.6%","6.5%","11.7%","21.1%","20.2%","20.3%","6.7%","4.2%","76,118","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","4,626","12.7%","12.2%","19.2%","14.9%","12.6%","15.4%","4.0%","3.2%","3.2%","2.5%","27,158","43,885","","(X)","(X)","36.1%"
"Middlesex County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,764","7.0%","5.5%","8.2%","13.1%","9.3%","20.0%","13.2%","14.4%","4.5%","4.7%","57,060","72,089","","39.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,932","2.3%","1.6%","5.0%","9.0%","11.9%","21.7%","16.8%","19.2%","6.2%","6.3%","72,850","88,110","","(X)","44.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,374","1.1%","0.2%","3.4%","7.9%","8.9%","23.5%","16.8%","22.7%","7.6%","7.8%","81,328","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,832","14.6%","11.8%","14.7%","20.2%","8.7%","16.6%","4.1%","6.8%","1.7%","0.8%","30,893","41,888","","(X)","(X)","30.8%"
"Montgomery County, Virginia","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","35,388","12.2%","3.4%","7.8%","8.8%","10.5%","18.2%","12.6%","13.2%","6.3%","7.0%","59,126","79,680","","32.0%","(X)","(X)"
